,party,region,result,council
2905, Партія регіонів , Харківська область, 75 ,Печенізька районна рада
2906, Партія регіонів , Харківська область, 50 ,Сахновщинська районна рада
2910, Комуністична партія України , Харківська область," 5,3 ",Чугуївська районна рада
2911," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Харківська область," 5,3 ",Чугуївська районна рада
2912, Народна Партія , Харківська область," 2,6 ",Чугуївська районна рада
2913," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Харківська область, 10 ,Печенізька районна рада
2914, Аграрна партія України , Харківська область, 5 ,Печенізька районна рада
2915, Народна Партія , Харківська область, 5 ,Печенізька районна рада
2916," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Харківська область, 25 ,Сахновщинська районна рада
2917," Політична партія ""Сильна Україна"" ", Харківська область," 15,6 ",Сахновщинська районна рада
2918, Комуністична партія України , Харківська область," 6,3 ",Сахновщинська районна рада
2919, Соціалістична партія України , Харківська область," 3,1 ",Сахновщинська районна рада
2921, Партія регіонів , Харківська область, 50 ,Первомайська районна рада
2922, Партія регіонів , Харківська область," 76,7 ",Харківська районна рада
2923," Партія ""Реформи і порядок"" ", Харківська область," 2,6 ",Чугуївська районна рада
2924," Політична партія ""Сильна Україна"" ", Харківська область," 2,6 ",Чугуївська районна рада
2925," Політична партія ""Сильна Україна"" ", Харківська область, 5 ,Печенізька районна рада
2926," Партія ""ВІДРОДЖЕННЯ"" ", Харківська область," 16,7 ",Первомайська районна рада
2927," Політична партія ""Сильна Україна"" ", Харківська область," 13,9 ",Первомайська районна рада
2928," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Харківська область," 11,1 ",Первомайська районна рада
2929," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Харківська область," 8,3 ",Харківська районна рада
2930, Комуністична партія України , Харківська область, 5 ,Харківська районна рада
2931," Партія ""ВІДРОДЖЕННЯ"" ", Харківська область, 5 ,Харківська районна рада
2932," Політична партія ""Фронт Змін""  ", Харківська область, 5 ,Харківська районна рада
2933, Комуністична партія України , Харківська область," 5,6 ",Первомайська районна рада
2934," Партія ""Соціалістична Україна"" ", Харківська область," 2,8 ",Первомайська районна рада
2935, Партія регіонів , Харківська область," 57,1 ",Лозівська районна рада
2936," Політична партія ""Сильна Україна"" ", Харківська область," 16,7 ",Лозівська районна рада
2937," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Харківська область," 11,9 ",Лозівська районна рада
2938, Комуністична партія України , Харківська область," 7,1 ",Лозівська районна рада
2939, Соціалістична партія України , Харківська область," 4,8 ",Лозівська районна рада
2940, Партія регіонів , Харківська область," 61,5 ",Краснокутська районна рада
2941, Партія регіонів , Харківська область," 64,3 ",Красноградська районна рада
2942, Партія регіонів , Харківська область, 50 ,Нововодолазька районна рада
2943, Партія регіонів , Харківська область, 40 ,Коломацька районна рада
2944, Єдиний Центр , Харківська область," 2,4 ",Лозівська районна рада
2945," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Харківська область," 11,5 ",Краснокутська районна рада
2946, Соціалістична партія України , Харківська область," 11,5 ",Краснокутська районна рада
2947," Політична партія ""Сильна Україна"" ", Харківська область," 7,7 ",Краснокутська районна рада
2948, Комуністична партія України , Харківська область," 3,8 ",Краснокутська районна рада
2949, Аграрна партія України , Харківська область," 17,9 ",Красноградська районна рада
2950, Комуністична партія України , Харківська область," 7,1 ",Красноградська районна рада
2951," Політична партія ""Сильна Україна"" ", Харківська область," 7,1 ",Красноградська районна рада
2952," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Харківська область," 3,6 ",Красноградська районна рада
2953, Народна Партія , Харківська область," 13,3 ",Нововодолазька районна рада
2954," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Харківська область," 13,3 ",Нововодолазька районна рада
2955, Комуністична партія України , Харківська область, 10 ,Нововодолазька районна рада
2956, Аграрна партія України , Харківська область," 3,3 ",Нововодолазька районна рада
2957, Соціалістична партія України , Харківська область, 35 ,Коломацька районна рада
2958," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Харківська область, 15 ,Коломацька районна рада
2959," Політична партія ""Сильна Україна"" ", Харківська область, 10 ,Коломацька районна рада
2960, Партія регіонів , Харківська область," 71,1 ",Куп'янська районна рада
2961, Партія регіонів , Харківська область," 62,5 ",Кегичівська районна рада
2962," Політична партія ""Громадянська позиція""  ", Харківська область," 3,8 ",Краснокутська районна рада
2963," Політична партія ""Європейська партія України"" ", Харківська область," 3,3 ",Нововодолазька районна рада
2964," Політична партія ""Фронт Змін""  ", Харківська область," 3,3 ",Нововодолазька районна рада
2965, Соціалістична партія України , Харківська область," 3,3 ",Нововодолазька районна рада
2967, Соціалістична партія України , Харківська область," 10,5 ",Куп'янська районна рада
2968, Комуністична партія України , Харківська область," 5,3 ",Куп'янська районна рада
2969," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Харківська область," 5,3 ",Куп'янська районна рада
2970," Політична партія ""Сильна Україна"" ", Харківська область," 5,3 ",Куп'янська районна рада
2971, Народна Партія , Харківська область," 18,8 ",Кегичівська районна рада
2972," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Харківська область," 9,4 ",Кегичівська районна рада
2973, Комуністична партія України , Харківська область," 3,1 ",Кегичівська районна рада
2978," Політична партія ""Фронт Змін""  ", Харківська область," 2,6 ",Куп'янська районна рада
2979," Політична партія ""Сильна Україна"" ", Харківська область," 3,1 ",Кегичівська районна рада
2980, Соціалістична партія України , Харківська область," 3,1 ",Кегичівська районна рада
3221, Партія регіонів , Харківська область," 55,9 ",Ізюмська районна рада
3248," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Харківська область," 14,7 ",Ізюмська районна рада
3249, Комуністична партія України , Харківська область," 11,8 ",Ізюмська районна рада
3250, Партія Пенсіонерів України , Харківська область," 5,9 ",Ізюмська районна рада
3251," Політична партія ""Сильна Україна"" ", Харківська область," 5,9 ",Ізюмська районна рада
3273, Соціалістична партія України , Харківська область," 5,9 ",Ізюмська районна рада
3279, Партія регіонів , Харківська область," 53,6 ",Золочівська районна рада
3280, Комуністична партія України , Харківська область," 17,9 ",Золочівська районна рада
3281, Соціалістична партія України , Харківська область," 14,3 ",Золочівська районна рада
3282," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Харківська область," 7,1 ",Золочівська районна рада
3283, Народна Партія , Харківська область," 3,6 ",Золочівська районна рада
3284, Народно-демократична партія (НДП) , Харківська область," 3,6 ",Золочівська районна рада
3285, Партія регіонів , Харківська область," 78,1 ",Зміївська районна рада
3286, Партія регіонів , Харківська область, 80 ,Зачепилівська районна рада
3287," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Харківська область," 12,5 ",Зміївська районна рада
3288, Комуністична партія України , Харківська область," 6,3 ",Зміївська районна рада
3289," Політична партія ""Фронт Змін""  ", Харківська область," 3,1 ",Зміївська районна рада
3290," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Харківська область, 15 ,Зачепилівська районна рада
3291, Соціалістична партія України , Харківська область, 5 ,Зачепилівська районна рада
3292, Партія регіонів , Харківська область," 67,9 ",Дворічанська районна рада
3293, Партія регіонів , Харківська область," 73,3 ",Дергачівська районна рада
3294, Партія регіонів , Харківська область," 66,7 ",Великобурлуцька районна рада
3295," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Харківська область," 14,3 ",Дворічанська районна рада
3296, Комуністична партія України , Харківська область," 7,1 ",Дворічанська районна рада
3297," Політична партія ""Сильна Україна"" ", Харківська область," 7,1 ",Дворічанська районна рада
3298, Соціалістична партія України , Харківська область," 3,6 ",Дворічанська районна рада
3299, Партія регіонів , Харківська область, 50 ,Валківська районна рада
3300," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Харківська область," 13,3 ",Дергачівська районна рада
3301, Комуністична партія України , Харківська область, 10 ,Дергачівська районна рада
3302," Політична партія ""Сильна Україна"" ", Харківська область," 3,3 ",Дергачівська районна рада
3303, Комуністична партія України , Харківська область," 13,9 ",Великобурлуцька районна рада
3304," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Харківська область," 11,1 ",Великобурлуцька районна рада
3305," Політична партія ""Сильна Україна"" ", Харківська область," 8,3 ",Великобурлуцька районна рада
3306," Політична партія ""Сильна Україна"" ", Харківська область, 15 ,Валківська районна рада
3307," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Харківська область," 12,5 ",Валківська районна рада
3308, Комуністична партія України , Харківська область," 7,5 ",Валківська районна рада
3309, Народна Партія , Харківська область, 5 ,Валківська районна рада
3310, Соціалістична партія України , Харківська область, 5 ,Валківська районна рада
3311, Партія регіонів , Харківська область," 61,1 ",Вовчанська районна рада
3312," Політична партія ""Наша Україна"" ", Харківська область," 2,5 ",Валківська районна рада
3313," Політична партія ""Фронт Змін""  ", Харківська область," 2,5 ",Валківська районна рада
3314, Народна Партія , Харківська область," 11,1 ",Вовчанська районна рада
3315," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Харківська область," 11,1 ",Вовчанська районна рада
3316," Політична партія ""Сильна Україна"" ", Харківська область," 11,1 ",Вовчанська районна рада
3317, Комуністична партія України , Харківська область," 5,6 ",Вовчанська районна рада
3318, Партія регіонів , Харківська область," 65,4 ",Барвінківська районна рада
3319, Комуністична партія України , Харківська область," 19,2 ",Барвінківська районна рада
3320, Народна Партія , Харківська область," 7,7 ",Барвінківська районна рада
3321," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Харківська область," 7,7 ",Барвінківська районна рада
3322, Партія регіонів , Харківська область, 75 ,Борівська районна рада
3323, Комуністична партія України , Харківська область, 10 ,Борівська районна рада
3324," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Харківська область, 10 ,Борівська районна рада
3325," Політична партія ""Сильна Україна"" ", Харківська область, 5 ,Борівська районна рада
3326, Партія регіонів , Харківська область," 39,1 ",Богодухівська районна рада
3327, Народна Партія , Харківська область," 28,3 ",Богодухівська районна рада
3328," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Харківська область," 10,9 ",Богодухівська районна рада
3329," Політична партія ""Сильна Україна"" ", Харківська область," 8,7 ",Богодухівська районна рада
3330, Партія регіонів , Харківська область," 52,5 ",Близнюківська районна рада
3333, Комуністична партія України , Харківська область," 4,3 ",Богодухівська районна рада
3334, Партія Християнсько-Демократичний Союз , Харківська область," 4,3 ",Богодухівська районна рада
3335, Соціалістична партія України , Харківська область," 4,3 ",Богодухівська районна рада
3336, Комуністична партія України , Харківська область, 15 ,Близнюківська районна рада
3337," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Харківська область, 15 ,Близнюківська районна рада
3338," Політична партія ""Сильна Україна"" ", Харківська область," 7,5 ",Близнюківська районна рада
3346, Народна Партія , Харківська область, 5 ,Близнюківська районна рада
3347," Партія ""ВІДРОДЖЕННЯ"" ", Харківська область, 5 ,Близнюківська районна рада
3381, Партія регіонів , Харківська область," 83,3 ",Балаклійська районна рада
3395, Комуністична партія України , Харківська область," 8,3 ",Балаклійська районна рада
3396," Політична партія ""Сильна Україна"" ", Харківська область," 6,3 ",Балаклійська районна рада
3397," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Харківська область," 2,1 ",Балаклійська районна рада
3492, Партія регіонів , Херсонська область," 60,5 ",Каховська районна рада
3493, Партія регіонів , Херсонська область," 54,2 ",Каланчацька районна рада
3496, Партія регіонів , Херсонська область," 66,7 ",Іванівська районна рада
3498, Партія регіонів , Херсонська область, 50 ,Горностаївська районна рада
3502, Комуністична партія України , Херсонська область," 21,1 ",Каховська районна рада
3503," Політична партія ""Сильна Україна"" ", Херсонська область," 10,5 ",Каховська районна рада
3504," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Херсонська область," 5,3 ",Каховська районна рада
3505, Партія відродження села , Херсонська область," 2,6 ",Каховська районна рада
3506, Комуністична партія України , Херсонська область," 29,2 ",Каланчацька районна рада
3507," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Херсонська область," 8,3 ",Каланчацька районна рада
3508, Народна Партія , Херсонська область," 4,2 ",Каланчацька районна рада
3516, Комуністична партія України , Херсонська область," 13,3 ",Іванівська районна рада
3517, Народна Партія , Херсонська область, 10 ,Іванівська районна рада
3518," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Херсонська область, 10 ,Іванівська районна рада
3522, Народна Партія , Херсонська область," 23,1 ",Горностаївська районна рада
3523, Комуністична партія України , Херсонська область," 11,5 ",Горностаївська районна рада
3524, Партія Християнсько-Демократичний Союз , Херсонська область," 7,7 ",Горностаївська районна рада
3528," Політична партія ""Фронт Змін""  ", Херсонська область," 4,2 ",Каланчацька районна рада
3539," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Херсонська область," 7,7 ",Горностаївська районна рада
3547, Партія регіонів , Херсонська область, 45 ,Генічеська районна рада
3548, Партія регіонів , Херсонська область," 37,5 ",Високопільська районна рада
3549, Партія регіонів , Херсонська область," 67,9 ",Великолепетиська районна рада
3550, Партія регіонів , Херсонська область," 47,7 ",Білозерська районна рада
3551, Комуністична партія України , Херсонська область, 25 ,Генічеська районна рада
3552, Народна Партія , Херсонська область, 10 ,Генічеська районна рада
3553," Політична партія ""Сильна Україна"" ", Херсонська область, 10 ,Генічеська районна рада
3554," Партія ""Справедливість""  ", Херсонська область, 5 ,Генічеська районна рада
3555, Соціалістична партія України , Херсонська область, 25 ,Високопільська районна рада
3556," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Херсонська область," 20,8 ",Високопільська районна рада
3557, Комуністична партія України , Херсонська область," 8,3 ",Високопільська районна рада
3558, Комуністична партія України , Херсонська область," 17,9 ",Великолепетиська районна рада
3559," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Херсонська область," 7,1 ",Великолепетиська районна рада
3560, Аграрна партія України , Херсонська область," 3,6 ",Великолепетиська районна рада
3561," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Херсонська область," 22,7 ",Білозерська районна рада
3562, Комуністична партія України , Херсонська область," 9,1 ",Білозерська районна рада
3563," Політична партія ""Фронт Змін""  ", Херсонська область," 6,8 ",Білозерська районна рада
3564," Політична партія ""Сильна Україна"" ", Херсонська область," 4,5 ",Білозерська районна рада
3565, Партія регіонів , Херсонська область," 38,6 ",Голопристанська районна рада
3566, Партія регіонів , Херсонська область," 60,7 ",Верхньорогачицька районна рада
3567, Партія регіонів , Херсонська область," 34,2 ",Великоолександрівська районна рада
3569," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Херсонська область, 5 ,Генічеська районна рада
3570," Політична партія ""Наша Україна"" ", Херсонська область," 4,2 ",Високопільська районна рада
3571," Політична партія ""Сильна Україна"" ", Херсонська область," 4,2 ",Високопільська районна рада
3572," Політична партія ""Сильна Україна"" ", Херсонська область," 3,6 ",Великолепетиська районна рада
3573, Народна Партія , Херсонська область," 2,3 ",Білозерська районна рада
3574," Партія ""Демократичний Союз"" ", Херсонська область," 2,3 ",Білозерська районна рада
3575, Партія Зелених України , Херсонська область," 2,3 ",Білозерська районна рада
3576," Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка"" ", Херсонська область," 2,3 ",Білозерська районна рада
3577," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Херсонська область," 38,6 ",Голопристанська районна рада
3578, Комуністична партія України , Херсонська область," 9,1 ",Голопристанська районна рада
3579," Політична партія ""Фронт Змін""  ", Херсонська область," 4,5 ",Голопристанська районна рада
3580," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Херсонська область," 14,3 ",Верхньорогачицька районна рада
3581," Політична партія ""Сильна Україна"" ", Херсонська область," 14,3 ",Верхньорогачицька районна рада
3582, Комуністична партія України , Херсонська область," 10,7 ",Верхньорогачицька районна рада
3583," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Херсонська область," 23,7 ",Великоолександрівська районна рада
3584, Народна Партія , Херсонська область," 18,4 ",Великоолександрівська районна рада
3585, Комуністична партія України , Херсонська область," 7,9 ",Великоолександрівська районна рада
3586, Партія Християнсько-Демократичний Союз , Херсонська область," 7,9 ",Великоолександрівська районна рада
3590, Єдиний Центр , Херсонська область," 2,3 ",Голопристанська районна рада
3591," Політична партія ""Сильна Україна"" ", Херсонська область," 2,3 ",Голопристанська районна рада
3592," Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка"" ", Херсонська область," 2,3 ",Голопристанська районна рада
3593, Соціалістична партія України , Херсонська область," 2,3 ",Голопристанська районна рада
3594, Єдиний Центр , Херсонська область," 2,6 ",Великоолександрівська районна рада
3595," Політична партія ""Сильна Україна"" ", Херсонська область," 2,6 ",Великоолександрівська районна рада
3596, Соціалістична партія України , Херсонська область," 2,6 ",Великоолександрівська районна рада
3667, Партія регіонів , Херсонська область," 39,1 ",Бериславська районна рада
3674, Народна Партія , Херсонська область," 10,9 ",Бериславська районна рада
3675," Політична партія ""Сильна Україна"" ", Херсонська область," 10,9 ",Бериславська районна рада
3676," Політична партія ""Фронт Змін""  ", Херсонська область," 10,9 ",Бериславська районна рада
3688, Комуністична партія України , Херсонська область," 8,7 ",Бериславська районна рада
3689," Політична партія ""Наша Україна"" ", Херсонська область," 6,5 ",Бериславська районна рада
3690," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Херсонська область," 4,3 ",Бериславська районна рада
3713," Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка"" ", Херсонська область," 4,3 ",Бериславська районна рада
3714," Партія ""Реформи і порядок"" ", Херсонська область," 2,2 ",Бериславська районна рада
3715," Партія ""Справедливість""  ", Херсонська область," 2,2 ",Бериславська районна рада
3799, Партія регіонів , Донецька область," 83,3 ",Авдіївська міська рада
3806, Комуністична партія України , Донецька область," 11,1 ",Авдіївська міська рада
3807," Політична партія ""Сильна Україна"" ", Донецька область," 5,6 ",Авдіївська міська рада
3811, Партія регіонів , Одеська область," 56,7 ",Теплодарська міська рада
3823, Народна Партія , Одеська область," 16,7 ",Теплодарська міська рада
3824, Соціалістична партія України , Одеська область, 10 ,Теплодарська міська рада
3825," Політична партія ""Фронт Змін""  ", Одеська область," 6,7 ",Теплодарська міська рада
3826," ""Партія селян"" ", Одеська область," 3,3 ",Теплодарська міська рада
3846," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Одеська область," 3,3 ",Теплодарська міська рада
3847," Політична партія ""Громадянська позиція""  ", Одеська область," 3,3 ",Теплодарська міська рада
3864, Партія регіонів , Кіровоградська область, 48 ,Світловодська міська рада
3865," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Кіровоградська область, 24 ,Світловодська міська рада
3866, Народна Партія , Кіровоградська область, 6 ,Світловодська міська рада
3867," Політична партія ""Сильна Україна"" ", Кіровоградська область, 6 ,Світловодська міська рада
3868, Єдиний Центр , Кіровоградська область, 4 ,Світловодська міська рада
3870, Партія регіонів , Кіровоградська область, 60 ,Олександрійська міська рада
3871, Партія регіонів , Кіровоградська область," 52,6 ",Кіровоградська міська рада
3874, Комуністична партія України , Кіровоградська область, 4 ,Світловодська міська рада
3875, Партія захисників Вітчизни , Кіровоградська область, 4 ,Світловодська міська рада
3876," Політична партія ""Фронт Змін""  ", Кіровоградська область, 4 ,Світловодська міська рада
3881, Партія промисловців і підприємців України , Кіровоградська область, 12 ,Олександрійська міська рада
3882," Політична партія ""Сильна Україна"" ", Кіровоградська область, 12 ,Олександрійська міська рада
3883, Комуністична партія України , Кіровоградська область, 6 ,Олександрійська міська рада
3884," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Кіровоградська область, 4 ,Олександрійська міська рада
3885," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Кіровоградська область," 23,7 ",Кіровоградська міська рада
3886," Політична партія ""Фронт Змін""  ", Кіровоградська область," 9,2 ",Кіровоградська міська рада
3887," Партія ""Солідарність жінок України"" ", Кіровоградська область," 3,9 ",Кіровоградська міська рада
3888, Комуністична партія України , Кіровоградська область," 2,6 ",Кіровоградська міська рада
3897, Партія регіонів , Кіровоградська область," 60,9 ",Знам'янська міська рада
3902," Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка"" ", Кіровоградська область, 4 ,Олександрійська міська рада
3903, Єдиний Центр , Кіровоградська область, 2 ,Олександрійська міська рада
3904, Соціалістична партія України , Кіровоградська область," 2,6 ",Кіровоградська міська рада
3905, Народна Партія , Кіровоградська область," 1,3 ",Кіровоградська міська рада
3906," Партія ""Солідарність"" ", Кіровоградська область," 1,3 ",Кіровоградська міська рада
3907," Політична партія ""Сильна Україна"" ", Кіровоградська область," 1,3 ",Кіровоградська міська рада
3917," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Кіровоградська область, 13 ,Знам'янська міська рада
3918," Партія ""ВІДРОДЖЕННЯ"" ", Кіровоградська область," 8,7 ",Знам'янська міська рада
3919, Комуністична партія України , Кіровоградська область," 6,5 ",Знам'янська міська рада
3920, Народна Партія , Кіровоградська область," 6,5 ",Знам'янська міська рада
3921," Політична партія ""Фронт Змін""  ", Кіровоградська область," 2,2 ",Знам'янська міська рада
3926," Політична партія ""Союз Лівих Сил"" ", Кіровоградська область," 1,3 ",Кіровоградська міська рада
3931, Українська соціал-демократична партія , Кіровоградська область," 2,2 ",Знам'янська міська рада
3939, Партія регіонів , Луганська область, 60 ,Стахановська міська рада
3940, Прогресивна соціалістична партія України , Луганська область, 12 ,Стахановська міська рада
3941, Комуністична партія України , Луганська область, 10 ,Стахановська міська рада
3942, Соціалістична партія України , Луганська область, 4 ,Стахановська міська рада
3943, Українська соціал-демократична партія , Луганська область, 4 ,Стахановська міська рада
3944, Партія Зелених України , Луганська область, 2 ,Стахановська міська рада
3945, Партія промисловців і підприємців України , Луганська область, 2 ,Стахановська міська рада
3946," Політична партія ""Партія українського народу"" ", Луганська область, 2 ,Стахановська міська рада
3947," Політична партія ""Союз Лівих Сил"" ", Луганська область, 2 ,Стахановська міська рада
3948," Політична партія ""Фронт Змін""  ", Луганська область, 2 ,Стахановська міська рада
3949, Партія регіонів , Луганська область," 79,6 ",Свердловська міська рада
3950, Партія регіонів , Луганська область," 66,7 ",Рубіжанська міська рада
3951, Партія регіонів , Луганська область," 86,1 ",Ровеньківська міська рада
3952, Комуністична партія України , Луганська область," 16,7 ",Свердловська міська рада
3953," Політична партія ""Сильна Україна"" ", Луганська область," 1,9 ",Свердловська міська рада
3954, Соціалістична партія України , Луганська область," 1,9 ",Свердловська міська рада
3955, Комуністична партія України , Луганська область, 25 ,Рубіжанська міська рада
3956," Партія ""Справедливість""  ", Луганська область," 8,3 ",Рубіжанська міська рада
3957, Комуністична партія України , Луганська область," 11,1 ",Ровеньківська міська рада
3958, Єдиний Центр , Луганська область," 2,8 ",Ровеньківська міська рада
3959, Партія регіонів , Луганська область," 90,2 ",Лисичанська міська рада
3960, Партія регіонів , Луганська область, 84 ,Первомайська міська рада
3961, Партія регіонів , Луганська область," 80,3 ",Луганська міська рада
3962, Комуністична партія України , Луганська область," 9,8 ",Лисичанська міська рада
3963, Комуністична партія України , Луганська область, 14 ,Первомайська міська рада
